,title,description,published_at,url
21,Motorola's 'Swiss Army Knife' Take on AI Makes My Head Spin,"Commentary: Rather than going it alone, Motorola's using several AI efforts together. The approach might help us figure out what we really want AI to do on phones.",2025-04-29T16:00:04Z,https://www.cnet.com/tech/mobile/motorola-took-a-swiss-army-knife-approach-with-ai-and-it-makes-my-head-spin/
22,We flew business class on one of the world's longest flights. The perks made me wish our 17-hour trip was longer.,"We spent our long 17-hour flight from Dallas to Melbourne in Qantas business class. The hotel-like pod seats, food, and service blew us away.",2025-04-08T18:59:26Z,https://www.businessinsider.com/flying-business-class-qantas-long-flight-dallas-melbourne-2025-4
23,FTC Sues Uber Over Deceptive Subscription Billing Practices,"The Federal Trade Commission filed suit against Uber on Monday, alleging the transportation giant violated federal consumer protection laws through deceptive billing and cancellation practices for its Uber One subscription service. According to the complaint,…",2025-04-21T18:15:00Z,https://news.slashdot.org/story/25/04/21/1748214/ftc-sues-uber-over-deceptive-subscription-billing-practices
24,Uber Inks Robotaxi Deal With Chinese Startup Momenta,"Uber is partnering with Chinese autonomous driving startup Momenta to launch robotaxi services outside the U.S. and China, starting in Europe in early 2026 with safety operators onboard. CNBC reports: Uber said the goal is to combine its global ridesharing ne…",2025-05-02T22:40:00Z,https://tech.slashdot.org/story/25/05/02/2113240/uber-inks-robotaxi-deal-with-chinese-startup-momenta
25,First Driverless Semis Have Started Running Regular Longhaul Routes,"An anonymous reader quotes a report from CNN: Driverless trucks are officially running their first regular long-haul routes, making roundtrips between Dallas and Houston. On Thursday, autonomous trucking firm Aurora announced it launched commercial service in…",2025-05-03T03:30:00Z,https://tech.slashdot.org/story/25/05/02/2258206/first-driverless-semis-have-started-running-regular-longhaul-routes
26,"Waymo Reports 250,000 Paid Robotaxi Rides Per Week In US","Waymo is now providing over 250,000 paid robotaxi rides per week in the U.S., up from 200,000 in February, as it expands into cities like Austin and grows partnerships with Uber and automakers. CNBC reports: ""We can't possibly do it all ourselves,"" said Picha…",2025-04-25T02:10:00Z,https://tech.slashdot.org/story/25/04/24/2311230/waymo-reports-250000-paid-robotaxi-rides-per-week-in-us
27,"Uber added people to its Uber One subscription program without their consent, an FTC lawsuit says","Uber One is too tricky to cancel and promises users more savings than they actually get, the FTC said in a lawsuit. Uber denied the allegations.",2025-04-21T18:45:30Z,https://www.businessinsider.com/uber-signed-users-up-uber-one-subscription-without-consent-ftc-2025-4
28,These companies — or their leaders — donated to Trump's inauguration. Here's how much their share prices have dropped since then.,"The recent stock market downturn has affected share prices of Apple, Amazon, Google, Meta, Tesla, Uber, Goldman Sachs, and Oracle.",2025-04-08T22:26:57Z,https://www.businessinsider.com/trump-inauguration-donors-see-company-stock-prices-plunge-since-then-2025-4
29,How Uber Freight is leveraging AI to make truck routes more efficient,"Uber Freight uses machine-learning algorithms to optimize vehicle routing, a complex logistical challenge in the trucking industry.",2025-04-10T17:16:18Z,https://www.businessinsider.com/ai-trucking-logistics-uber-freight-tech-optimize-routes-2025-4
30,Uber CEO Dara Khosrowshahi says self-driving on his Tesla is 'delightful' and welcomes Elon Musk's competition in autonomous taxis,Uber CEO Dara Khosrowshahi says there is plenty of money to go around in the robotaxi space.,2025-04-25T16:47:54Z,https://www.businessinsider.com/uber-dara-khosrowshahi-tesla-robotaxis-elon-musk-2025-4
